,TIMESTAMP,RECORD,BP_mbar_Max,BP_mbar_Min,Rain_mm_Tot,AirTC_Max,AirTC_Min,RH_Max,RH_Min,SlrkJ_Tot,TdC_Max,TdC_Min,AirTC_Avg,RH_Avg,WS_ms_Avg,SlrkJ_Avg,Eto,BP_mbar_Max_sum,BP_mbar_Max_std,BP_mbar_Max_min,BP_mbar_Max_max,BP_mbar_Max_avg,BP_mbar_Min_sum,BP_mbar_Min_std,BP_mbar_Min_min,BP_mbar_Min_max,BP_mbar_Min_avg,Rain_mm_Tot_sum,Rain_mm_Tot_std,Rain_mm_Tot_min,Rain_mm_Tot_max,Rain_mm_Tot_avg,AirTC_Max_sum,AirTC_Max_std,AirTC_Max_min,AirTC_Max_max,AirTC_Max_avg,AirTC_Min_sum,AirTC_Min_std,AirTC_Min_min,AirTC_Min_max,AirTC_Min_avg,RH_Max_sum,RH_Max_std,RH_Max_min,RH_Max_max,RH_Max_avg,RH_Min_sum,RH_Min_std,RH_Min_min,RH_Min_max,RH_Min_avg,SlrkJ_Tot_sum,SlrkJ_Tot_std,SlrkJ_Tot_min,SlrkJ_Tot_max,SlrkJ_Tot_avg,TdC_Max_sum,TdC_Max_std,TdC_Max_min,TdC_Max_max,TdC_Max_avg,TdC_Min_sum,TdC_Min_std,TdC_Min_min,TdC_Min_max,TdC_Min_avg,AirTC_Avg_sum,AirTC_Avg_std,AirTC_Avg_min,AirTC_Avg_max,AirTC_Avg_avg,RH_Avg_sum,RH_Avg_std,RH_Avg_min,RH_Avg_max,RH_Avg_avg,WS_ms_Avg_sum,WS_ms_Avg_std,WS_ms_Avg_min,WS_ms_Avg_max,WS_ms_Avg_avg,SlrkJ_Avg_sum,SlrkJ_Avg_std,SlrkJ_Avg_min,SlrkJ_Avg_max,SlrkJ_Avg_avg
111,2016-06-22 09:00:00,20761,620.29,599.7375,0.0,27.579,26.678,78.49,71.318,2616.991,23.22897,21.52401,27.09347,75.21278000000001,0.4409722,7.269421,0.01750601,3662.2284,10.571990900677154,600.3724,620.3236,610.3714,3598.6598999999997,0.08825297162135798,599.6978,599.9451,599.7766499999999,0.0,0.0,0.0,0.0,0.0,151.961,0.9277597569773478,24.625,27.158,25.326833333333337,146.84199999999998,0.40780469181541623,23.944,24.934,24.473666666666663,501.097,6.921416745628504,72.762,91.83,83.51616666666666,464.706,7.003374358121949,67.566,85.098,77.45100000000001,13085.969,254.08099562259014,2045.2939999999999,2696.125,2180.994833333333,130.52254,1.153191857336267,19.909029999999998,23.29419,21.753756666666664,125.48746,1.4894597196925696,18.729039999999998,22.550639999999998,20.914576666666665,149.38684,0.4424410886283809,24.28138,25.59696,24.897806666666668,483.60189999999994,6.582026726729893,70.97093000000001,86.89262,80.60031666666666,0.38652773999999995,0.07362437371012402,0.0,0.18,0.06442128999999999,36.349916,0.7057807746082817,5.681373000000001,7.489236999999999,6.058319333333333
112,2016-06-22 10:00:00,20762,612.4481,599.7802,0.0,29.47,27.239,72.832,61.839,3151.031,22.6557,20.81341,28.37078,66.63531,1.160973,8.752865,0.04688627,3662.5642000000003,10.633576393042324,600.3724,620.3236,610.4273666666667,3598.6996,0.08245684123630212,599.7344,599.9451,599.7832666666667,0.0,0.0,0.0,0.0,0.0,154.36499999999998,1.2953524230880187,24.625,27.579,25.727499999999996,148.666,0.9991455683065743,23.944,26.678,24.777666666666665,506.82499999999993,5.360447161074035,78.222,91.83,84.47083333333332,468.458,6.046329057094619,71.318,85.098,78.07633333333334,13586.203,305.62926692541515,2045.2939999999999,2696.125,2264.3671666666664,133.84248000000002,0.8468169738497223,21.050079999999998,23.29419,22.307080000000003,128.28243,1.0378163163633534,19.51164,22.550639999999998,21.380405,151.44886,1.0072927185216158,24.28138,27.09347,25.241476666666667,487.84375,5.475709287602534,73.93166,86.89262,81.30729166666667,0.80444439,0.16617650315608204,0.0,0.4409722,0.134074065,37.739456000000004,0.8489706648210328,5.681373000000001,7.489236999999999,6.289909333333334
113,2016-06-22 11:00:00,20763,620.0183,599.7772,0.0,31.119,29.25,62.56399999999999,54.315,3177.83,21.78663,20.055139999999998,29.94449,58.57618000000001,1.61368,8.827306,0.07625193,3674.0996,9.55763192881306,600.3724,620.3236,612.3499333333333,3598.7454,0.07907907434968688,599.7375,599.9451,599.7909,0.0,0.0,0.0,0.0,0.0,158.67,1.9488843988292375,24.625,29.47,26.444999999999997,150.971,1.4240559562975985,23.944,27.239,25.161833333333334,501.43499999999995,6.8592197150987975,72.832,91.83,83.57249999999999,458.905,8.792624054664609,61.839,85.098,76.48416666666667,14627.088000000002,458.00900250890265,2045.2939999999999,3151.031,2437.8480000000004,135.4481,0.5826341178361139,21.983060000000002,23.29419,22.574683333333336,129.5842,0.6216236881801289,20.81341,22.550639999999998,21.59736666666667,154.78921,1.6100643096897302,24.28138,28.37078,25.798201666666667,480.5474,7.770602001594639,66.63531,86.89262,80.09123333333334,1.84020909,0.4502698197658823,0.0,1.160973,0.30670151500000004,40.630805,1.2722475553068144,5.681373000000001,8.752865,6.771800833333334
114,2016-06-22 12:00:00,20764,619.9573,599.8046,0.0,31.029,29.16,59.583,52.621,2604.886,21.43956,19.6026,29.82616,56.708580000000005,1.658125,7.235794,0.0798663,3673.7942999999996,9.507371802711823,600.3724,620.29,612.29905,3598.7821,0.07575031133051663,599.7375,599.9451,599.7970166666667,0.0,0.0,0.0,0.0,0.0,164.675,2.571204497247674,24.625,31.119,27.445833333333336,155.66700000000003,2.1357864827739688,23.944,29.25,25.944500000000005,479.1909999999999,10.886773303723501,62.56399999999999,91.83,79.86516666666665,434.99800000000005,12.4879592674971,54.315,85.098,72.49966666666667,15743.427,499.41723510858134,2045.2939999999999,3177.83,2623.9045,135.25167,0.6264010972452082,21.78663,23.29419,22.541945,128.58945,0.8770280701266068,20.055139999999998,22.550639999999998,21.431575,159.92785,2.225647936124819,24.28138,29.94449,26.654641666666667,457.26239999999996,11.587155663946174,58.57618000000001,86.89262,76.21039999999999,3.3956252,0.6718580475798936,0.0,1.61368,0.5659375333333333,43.731746,1.387270372896598,5.681373000000001,8.827306,7.288624333333334
115,2016-06-22 13:00:00,20765,600.9371,599.8321,0.0,32.418,30.33,54.23,47.626000000000005,3066.7709999999997,21.09311,19.35612,31.05663,51.30983,1.4545139999999999,8.518807,0.08234641,3692.8662999999997,7.996276212191952,600.3724,620.29,615.4777166666667,3598.6416000000004,0.02656817645231811,599.7375,599.8046,599.7736000000001,0.0,0.0,0.0,0.0,0.0,170.98000000000002,2.524308433346976,24.625,31.119,28.49666666666667,160.313,2.3453561278975665,23.944,29.25,26.718833333333333,453.50399999999996,13.151371776358543,59.583,91.83,75.58399999999999,402.983,13.090376089580722,52.621,85.098,67.16383333333333,16292.157,418.3125901900396,2045.2939999999999,3177.83,2715.3595,134.65398,0.7566886320013012,21.43956,23.29419,22.44233,126.33963,1.1108839012381087,19.6026,22.550639999999998,21.056605,165.11324000000002,2.292989964423453,24.28138,29.94449,27.518873333333335,428.99519999999995,12.974032110570711,56.708580000000005,86.89262,71.49919999999999,5.0537502,0.730934278658964,0.0,1.658125,0.8422917,45.255996,1.161979439878348,5.681373000000001,8.827306,7.5426660000000005
116,2016-06-22 14:00:00,20766,620.0825,599.8412,0.0,33.257,31.138,52.085,44.332,3107.913,20.67237,19.039170000000002,32.05341,47.77216,1.6982650000000001,8.633091,0.1019932,3693.431,7.783417759228061,600.9371,620.29,615.5718333333333,3598.7271,0.03163610279412513,599.7375,599.8321,599.78785,0.0,0.0,0.0,0.0,0.0,178.77300000000002,2.1036116324074645,27.158,32.418,29.795500000000004,166.601,2.3146810075400595,23.944,30.33,27.766833333333334,419.52899999999994,13.922019505086178,54.23,91.83,69.9215,365.51099999999997,11.686378373987383,47.626000000000005,77.792,60.918499999999995,17313.634,274.0535860051217,2604.886,3177.83,2885.6056666666664,133.49815999999998,0.9405558107133608,21.09311,23.29419,22.24969333333333,123.90192,1.2270337189661902,19.35612,22.550639999999998,20.65032,171.88849,2.0333570898139524,25.59696,31.05663,28.648081666666666,393.41241,12.659054759607843,51.30983,84.96973,65.568735,6.5082642,0.6299339022398938,0.18,1.658125,1.0847107,48.09343,0.7612597580509998,7.235794,8.827306,8.015571666666666
117,2016-06-22 15:00:00,20767,600.9097,599.7558,0.0,33.698,31.499,49.282,42.931000000000004,3128.509,20.103579999999997,18.9942,32.56122,45.90598,1.827431,8.690302,0.113205,3693.7333000000003,7.817013406261158,600.9371,620.29,615.6222166666668,3598.7727999999997,0.038584539218014545,599.7375,599.8412,599.7954666666666,0.0,0.0,0.0,0.0,0.0,184.872,2.0470394231670275,27.579,33.257,30.812,173.795,1.727069473607436,26.678,31.138,28.965833333333332,379.784,10.43066624270313,52.085,78.49,63.297333333333334,332.051,9.865687110722021,44.332,71.318,55.341833333333334,17725.422,268.61977139964955,2604.886,3177.83,2954.2369999999996,130.87634,0.9669069335911634,20.67237,23.22897,21.812723333333334,120.39045,0.9442008999519116,19.039170000000002,21.52401,20.065075,178.34494,1.7895249913165967,27.09347,32.05341,29.72415666666667,356.21484000000004,10.109084456964442,47.77216,75.21278000000001,59.36914000000001,8.026529199999999,0.48121573802313106,0.4409722,1.6982650000000001,1.3377548666666665,49.237284,0.7461658054738236,7.235794,8.827306,8.206214000000001
118,2016-06-22 16:00:00,20768,600.9371,599.7955,0.0,33.925,31.688,47.418,41.446000000000005,3227.616,20.01258,18.54802,32.73396,44.86823,1.8468060000000002,8.965601,0.1168324,3674.3530000000005,9.355202834501581,600.9097,620.0825,612.3921666666668,3598.7911,0.033470369981000565,599.7558,599.8412,599.7985166666666,0.0,0.0,0.0,0.0,0.0,190.99099999999999,1.5867072088657903,29.47,33.698,31.831833333333332,178.616,1.563516762515409,27.239,31.499,29.769333333333336,350.57599999999996,8.572303019997989,49.282,72.832,58.429333333333325,303.664,7.087258501470553,42.931000000000004,61.839,50.61066666666667,18236.94,216.24538346424876,2604.886,3177.83,3039.49,127.75094999999999,0.8901630145259916,20.103579999999997,22.6557,21.291825,117.86064,0.694147273912388,18.9942,20.81341,19.643440000000002,183.81269,1.559339570554363,28.37078,32.56122,30.635448333333333,326.90804,7.720823839714691,45.90598,66.63531,54.48467333333334,9.412988,0.2336786238599215,1.160973,1.827431,1.5688313333333335,50.658165000000004,0.6006818310043179,7.235794,8.827306,8.443027500000001
119,2016-06-22 17:00:00,20769,620.0732,599.768,0.0,34.416,31.07,49.39,40.789,2670.877,19.75154,18.581889999999998,32.661,44.3741,1.9036110000000002,7.419103999999999,0.1196053,3662.8419999999996,10.456870188286095,600.9097,620.0825,610.4736666666666,3598.8064,0.032360201894695496,599.7558,599.8412,599.8010666666667,0.0,0.0,0.0,0.0,0.0,195.446,1.2714913553251808,31.029,33.925,32.574333333333335,183.065,1.1137939516206157,29.16,31.688,30.510833333333334,325.1619999999999,5.892186645606761,47.418,62.56399999999999,54.19366666666665,283.271,5.286764659663474,41.446000000000005,54.315,47.21183333333334,18313.525,226.178152277727,2604.886,3227.616,3052.254166666667,125.10782999999999,0.7174840059750464,20.01258,21.78663,20.851305,115.59525,0.5263051186431678,18.54802,20.055139999999998,19.265874999999998,188.17587,1.2852889235148652,29.82616,32.73396,31.362645,305.14096,5.725835942049573,44.86823,58.57618000000001,50.85682666666667,10.098821000000001,0.1452965983792005,1.4545139999999999,1.8468060000000002,1.6831368333333334,50.870901,0.6282729230793731,7.235794,8.965601,8.478483500000001
120,2016-06-22 18:00:00,20770,620.1099,599.765,0.0,31.638,30.88,50.953,46.841,2222.2039999999997,19.57153,18.8345,31.38153,48.240990000000004,1.141181,6.172789,0.06950029,3662.8969,10.466911512842115,600.9097,620.0825,610.4828166666667,3598.7972,0.033898652873897386,599.7558,599.8412,599.7995333333333,0.0,0.0,0.0,0.0,0.0,198.743,1.228453567159404,31.029,34.416,33.12383333333333,184.885,0.9352630467770372,29.16,31.688,30.814166666666665,311.98799999999994,4.419871898596157,47.418,59.583,51.99799999999999,269.745,4.473367892315587,40.789,52.621,44.9575,17806.572,261.77413119252253,2604.886,3227.616,2967.762,123.07274,0.6660782950574711,19.75154,21.43956,20.51212333333333,114.122,0.41668630146270313,18.54802,19.6026,19.020333333333333,190.89238,1.1579719993621034,29.82616,32.73396,31.81539666666667,290.93888,4.7486166955258335,44.3741,56.708580000000005,48.48981333333333,10.388752,0.1645175470965535,1.4545139999999999,1.9036110000000002,1.7314586666666667,49.462699,0.7271501411795002,7.235794,8.965601,8.243783166666667
